Student,LPIPS,SSIM
113590052.png,0.0,1.0
113590022.png,0.21854592859745026,0.6933224272339599
113590051.png,0.2584201991558075,0.7055707900963829
113370239.png,0.28810998797416687,0.6640400114877705
113590045.png,0.29104939103126526,0.5810494246335908
111590028.png,0.29965516924858093,0.7228999233065179
111590047.png,0.3017745316028595,0.6426833229312243
113590026.png,0.30695852637290955,0.6515909635293388
113590018.png,0.3077777326107025,0.6436462643130025
113590001.png,0.31419438123703003,0.6045112908828916
113590021.png,0.31600621342658997,0.6540435994753309
114054809.png,0.33308032155036926,0.6280408586942996
113590015.png,0.33416929841041565,0.6139332116685572
112590454.png,0.33661046624183655,0.6049948004878499
113AC1012.png,0.3396703898906708,0.6194810619826957
112590455.png,0.3463723063468933,0.6318620705595771
113590002.png,0.37010785937309265,0.6005687097806323
113590028.png,0.3983992338180542,0.5334314280292297
113590010.png,0.4122146666049957,0.5728838720473393
113590043.png,0.42077961564064026,0.7011672774901129
113590025.png,0.4279976487159729,0.7028011003064807
113590049.png,0.439779132604599,0.479691687327482
111590042.png,0.44436880946159363,0.7159728105965042
111590455.png,0.4873971939086914,0.4995648002928157
